Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
24/7 Call Centres,24-7-call-centres,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c413fb873b0cc249454,false,false,Tue May 27 2025 03:06:41 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:06:41 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:06:41 GMT+0000 (Coordinated Universal Time)
Banking & insurance,banking-insurance,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352ca2cf14fee819252c0d,false,false,Tue May 27 2025 03:08:18 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:08:18 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:08:18 GMT+0000 (Coordinated Universal Time)
Commercial offices,commercial-office,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352cc97aca266b096ae6e4,false,false,Tue May 27 2025 03:08:57 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:09:17 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:09:17 GMT+0000 (Coordinated Universal Time)
Education,education,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c8d513ce997bab16739,false,false,Tue May 27 2025 03:07:57 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:57 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:57 GMT+0000 (Coordinated Universal Time)
Fitness,fitness,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c54e1ec4d2da1680981,false,false,Tue May 27 2025 03:07:00 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:00 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:00 GMT+0000 (Coordinated Universal Time)
Government,government,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c7f382584f63becf885,false,false,Tue May 27 2025 03:07:43 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:43 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:43 GMT+0000 (Coordinated Universal Time)
Health,health,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c65a5bc3fee51a06d14,false,false,Tue May 27 2025 03:07:17 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:17 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:17 GMT+0000 (Coordinated Universal Time)
Professional services,professional-services,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352cb83fd5947ee8b81f51,false,false,Tue May 27 2025 03:08:40 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:08:40 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:08:40 GMT+0000 (Coordinated Universal Time)
Retail,retail,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c7140f51fc0e023c2f0,false,false,Tue May 27 2025 03:07:29 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:29 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:07:29 GMT+0000 (Coordinated Universal Time)
Transport,transport,6833e520098a7d3d19bd93bc,6764ce480fea74a61cc3a6d0,68352c1fdffa7a5f18bfc136,false,false,Tue May 27 2025 03:06:07 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:06:07 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 03:06:07 GMT+0000 (Coordinated Universal Time)
